Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
Timestamp: 16, X: -8, Y: 9
